fid,cngdegrees,xcoord,ycoord
0,0,73.1626528453732,2.21090529672399
0,0.025,73.1626822994504,2.18590531407485
0,0.05,73.1627117535277,2.16090533142571
0,0.075,73.162741207605,2.13590534877657
0,0.1,73.1627706616822,2.11090536612743
0,0.125,73.1628001157595,2.08590538347829
0,0.15,73.1628295698368,2.06090540082914
0,0.175,73.1628590239141,2.03590541818
0,0.2,73.1628884779913,2.01090543553086
0,0.225,73.1629179320686,1.98590545288172
0,0.25,73.1629473861459,1.96090547023258
0,0.275,73.1629768402231,1.93590548758344
0,0.3,73.1630062943004,1.9109055049343
0,0.325,73.1630357483777,1.88590552228516
0,0.35,73.163065202455,1.86090553963602
0,0.375,73.1630946565322,1.83590555698688
0,0.4,73.1631241106095,1.81090557433774
0,0.425,73.1631535646868,1.7859055916886
0,0.45,73.163183018764,1.76090560903946
0,0.475,73.1632124728413,1.73590562639032
