fid,cngdegrees,xcoord,ycoord
0,0,73.6568182171645,2.21151564005803
0,0.02,73.6368182319368,2.21149133185802
0,0.04,73.616818246709,2.21146702365802
0,0.06,73.5968182614812,2.21144271545802
0,0.08,73.5768182762534,2.21141840725802
0,0.1,73.5568182910256,2.21139409905802
0,0.12,73.5368183057979,2.21136979085802
0,0.14,73.5168183205701,2.21134548265801
0,0.16,73.4968183353423,2.21132117445801
0,0.18,73.4768183501145,2.21129686625801
0,0.2,73.4568183648867,2.21127255805801
0,0.22,73.436818379659,2.21124824985801
0,0.24,73.4168183944312,2.211223941658
0,0.26,73.3968184092034,2.211199633458
0,0.28,73.3768184239756,2.211175325258
0,0.3,73.3568184387478,2.211151017058
0,0.32,73.3368184535201,2.211126708858
0,0.34,73.3168184682923,2.211102400658
0,0.36,73.2968184830645,2.21107809245799
0,0.38,73.2768184978367,2.21105378425799
0,0.4,73.2568185126089,2.21102947605799
0,0.42,73.2368185273812,2.21100516785799
0,0.44,73.2168185421534,2.21098085965799
0,0.46,73.1968185569256,2.21095655145798
0,0.48,73.1768185716978,2.21093224325798
